Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C3,100pF,SMD-0805,1,
2,,C,C4C5C6C7,10nF,SMD-0805,4,
3,,C,C2,100nF,SMD-0805,1,
4,,CP,C1,47uF/16V,TantalC_SizeC_Reflow,1,
5,,D_Schottky,D1,SMBJ15A-E3/52,Diode-SMB_Standard,1,
6,,D_ZENER,D2D3D4D5,SMBJ15A-E3/52,SMB_Standard,4,
7,,CONN1_1,J1J2J12J13J14J15J16J17J18J19,CONN1_1,WAGO256_2,10,
8,,JUMP_2x1,J3J4J5J6J7J8J9J10J11J20,JUMP_2x1,Straight_2x01,10,
9,,R,R2,510,SMD-0805,1,
10,,R,R1R3R4R5R6R7R8R9R10,10k,SMD-0805,9,
11,,R,R11R12R13R14,20k,SMD-0805,4,
12,,VNQ7050AJ,U1,VNQ7050AJ,PowerSSO-16,1,
