Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF/16V","TantalC_SizeC_Reflow",19.5580,17.0180,180.0000,bottom
"C2","100nF","SMD-0805",26.7970,20.1930,0.0000,bottom
"C3","100pF","SMD-0805",39.4335,37.9730,0.0000,bottom
"C4","10nF","SMD-0805",3.8735,17.1450,180.0000,bottom
"C5","10nF","SMD-0805",3.3655,30.2260,180.0000,bottom
"C6","10nF","SMD-0805",43.4975,30.3530,180.0000,bottom
"C7","10nF","SMD-0805",40.0050,17.2085,180.0000,bottom
"D1","SMBJ15A-E3/52","Diode-SMB_Standard",28.0670,16.6370,180.0000,bottom
"D2","SMBJ15A-E3/52","SMB_Standard",7.3660,13.5992,90.0000,bottom
"D3","SMBJ15A-E3/52","SMB_Standard",11.5570,33.8988,-90.0000,bottom
"D4","SMBJ15A-E3/52","SMB_Standard",39.6240,33.2842,-90.0000,bottom
"D5","SMBJ15A-E3/52","SMB_Standard",44.0690,14.2342,90.0000,bottom
"J1","CONN1_1","WAGO256_2",23.1140,8.3820,90.0000,top
"J2","CONN1_1","WAGO256_2",18.0340,8.3820,90.0000,top
"J3","JUMP_2x1","Straight_2x01",30.7340,35.6870,90.0000,top
"J4","JUMP_2x1","Straight_2x01",18.0340,35.6870,90.0000,top
"J5","JUMP_2x1","Straight_2x01",23.1140,35.6870,90.0000,top
"J6","JUMP_2x1","Straight_2x01",35.8140,35.6870,90.0000,top
"J7","JUMP_2x1","Straight_2x01",28.1940,35.6870,90.0000,top
"J8","JUMP_2x1","Straight_2x01",33.2740,35.6870,90.0000,top
"J9","JUMP_2x1","Straight_2x01",25.6540,35.6870,90.0000,top
"J10","JUMP_2x1","Straight_2x01",15.3670,35.6870,90.0000,top
"J11","JUMP_2x1","Straight_2x01",20.5740,35.6870,90.0000,top
"J12","CONN1_1","WAGO256_2",7.7470,21.5900,0.0000,top
"J13","CONN1_1","WAGO256_2",7.7470,26.5430,0.0000,top
"J14","CONN1_1","WAGO256_2",42.9260,26.5430,180.0000,top
"J15","CONN1_1","WAGO256_2",42.9260,21.5900,180.0000,top
"J16","CONN1_1","WAGO256_2",13.0810,8.3820,90.0000,top
"J17","CONN1_1","WAGO256_2",28.1940,8.3820,90.0000,top
"J18","CONN1_1","WAGO256_2",33.2740,8.3820,90.0000,top
"J19","CONN1_1","WAGO256_2",38.3540,8.3820,90.0000,top
"J20","JUMP_2x1","Straight_2x01",3.1750,12.7000,90.0000,top
"M1","HOLE","MountingHole_3mm",5.0800,5.0800,0.0000,top
"M2","HOLE","MountingHole_3mm",45.7200,5.0800,0.0000,top
"M3","HOLE","MountingHole_3mm",45.7200,35.5600,0.0000,top
"M4","HOLE","MountingHole_3mm",5.0800,35.5600,0.0000,top
"R1","10k","SMD-0805",30.7340,31.1785,90.0000,bottom
"R2","510","SMD-0805",33.4010,16.7640,90.0000,bottom
"R3","10k","SMD-0805",18.0340,31.2420,90.0000,bottom
"R4","10k","SMD-0805",23.1140,31.2420,90.0000,bottom
"R5","10k","SMD-0805",35.8140,31.1785,90.0000,bottom
"R6","10k","SMD-0805",28.1940,31.2420,90.0000,bottom
"R7","10k","SMD-0805",33.2740,31.1785,90.0000,bottom
"R8","10k","SMD-0805",25.6540,31.2420,90.0000,bottom
"R9","10k","SMD-0805",15.3670,31.2420,90.0000,bottom
"R10","10k","SMD-0805",20.4470,31.2420,90.0000,bottom
"R11","20k","SMD-0805",10.9855,17.1450,0.0000,bottom
"R12","20k","SMD-0805",6.9215,30.2260,0.0000,bottom
"R13","20k","SMD-0805",46.9900,30.4165,0.0000,bottom
"R14","20k","SMD-0805",47.5615,17.1450,0.0000,bottom
"U1","VNQ7050AJ","PowerSSO-16",25.5270,24.1300,90.0000,bottom
